分类,名称,型号,图片数,粒子系统数,独立目录,源包
飞机图标,1式陆攻,1shilugong,1,0,battle-assets/飞机图标/aircrafticon__1shilugong,aircrafticon/1shilugong
飞机图标,95shi,95shi,1,0,battle-assets/飞机图标/aircrafticon__95shi,aircrafticon/95shi
飞机图标,96式陆攻,961shilugong,1,0,battle-assets/飞机图标/aircrafticon__961shilugong,aircrafticon/961shilugong
飞机图标,默认重樱战斗机,96jiangong,1,0,battle-assets/飞机图标/aircrafticon__96jiangong,aircrafticon/96jiangong
飞机图标,默认重樱鱼雷机,97jiangong,1,0,battle-assets/飞机图标/aircrafticon__97jiangong,aircrafticon/97jiangong
飞机图标,97jiangong1,97jiangong1,1,0,battle-assets/飞机图标/aircrafticon__97jiangong1,aircrafticon/97jiangong1
飞机图标,九七式舰攻改,97jiangonggai,1,0,battle-assets/飞机图标/aircrafticon__97jiangonggai,aircrafticon/97jiangonggai
飞机图标,默认重樱轰炸机,99shijianbao1,1,0,battle-assets/飞机图标/aircrafticon__99shijianbao1,aircrafticon/99shijianbao1
飞机图标,空母·加贺-轰炸机,99shijianbao2,1,0,battle-assets/飞机图标/aircrafticon__99shijianbao2,aircrafticon/99shijianbao2
飞机图标,九九式舰爆改,99shijianbaogai,1,0,battle-assets/飞机图标/aircrafticon__99shijianbaogai,aircrafticon/99shijianbaogai
飞机图标,AD1天袭者,ad1,1,0,battle-assets/飞机图标/aircrafticon__ad1,aircrafticon/ad1
飞机图标,【大世界】黑飞龙通用飞机战斗机lv1,alter_plane1,1,0,battle-assets/飞机图标/aircrafticon__alter_plane1,aircrafticon/alter_plane1
飞机图标,【大世界】黑飞龙飞机2,alter_plane2,1,0,battle-assets/飞机图标/aircrafticon__alter_plane2,aircrafticon/alter_plane2
飞机图标,【2021美系活动B3】BOSS 苍龙·META 二阶段 余烬飞机,alter_plane3,1,0,battle-assets/飞机图标/aircrafticon__alter_plane3,aircrafticon/alter_plane3
飞机图标,Ar-195舰载鱼雷机,ar195,1,0,battle-assets/飞机图标/aircrafticon__ar195,aircrafticon/ar195
飞机图标,Ar-197舰载战斗机,ar197,1,0,battle-assets/飞机图标/aircrafticon__ar197,aircrafticon/ar197
飞机图标,BF-109G,bf109g,1,0,battle-assets/飞机图标/aircrafticon__bf109g,aircrafticon/bf109g
飞机图标,BF-109T舰载战斗机T1,bf109t,1,0,battle-assets/飞机图标/aircrafticon__bf109t,aircrafticon/bf109t
飞机图标,BR.810,br810,1,0,battle-assets/飞机图标/aircrafticon__br810,aircrafticon/br810
飞机图标,BTD-1毁灭者,btd,1,0,battle-assets/飞机图标/aircrafticon__btd,aircrafticon/btd
飞机图标,彩云（舰攻型）,caiyun,1,0,battle-assets/飞机图标/aircrafticon__caiyun,aircrafticon/caiyun
飞机图标,【2024瑞凤活动T2】BOSS 幻形之息航母 战斗机,chongying_m_feiji,1,0,battle-assets/飞机图标/aircrafticon__chongying_m_feiji,aircrafticon/chongying_m_feiji
飞机图标,【2025白凤UR活动】天原之息 航母战斗机 Lv1,chongying_u_feiji,1,0,battle-assets/飞机图标/aircrafticon__chongying_u_feiji,aircrafticon/chongying_u_feiji
飞机图标,霞飞战斗机弹幕Lv1,d790,1,0,battle-assets/飞机图标/aircrafticon__d790,aircrafticon/d790
飞机图标,二式水上战斗机,ershishuizhan,1,0,battle-assets/飞机图标/aircrafticon__ershishuizhan,aircrafticon/ershishuizhan
飞机图标,高速速运无人机,expressdrone,1,0,battle-assets/飞机图标/aircrafticon__expressdrone,aircrafticon/expressdrone
飞机图标,默认白鹰战斗机,f2a,1,0,battle-assets/飞机图标/aircrafticon__f2a,aircrafticon/f2a
飞机图标,F2A水牛(萨奇队）,f2athach,1,0,battle-assets/飞机图标/aircrafticon__f2athach,aircrafticon/f2athach
飞机图标,F4F野猫,f4f,1,0,battle-assets/飞机图标/aircrafticon__f4f,aircrafticon/f4f
飞机图标,F4U海盗,f4u,1,0,battle-assets/飞机图标/aircrafticon__f4u,aircrafticon/f4u
飞机图标,F4U（VF-17“海盗”中队）,f4u-1d,1,0,battle-assets/飞机图标/aircrafticon__f4u-1d,aircrafticon/f4u-1d
